Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities
1,60,RL,65,8450,Pave,NA,Reg,Lvl,AllPub
2,20,RL,80,9600,Pave,NA,Reg,Lvl,AllPub
3,60,RL,68,11250,Pave,NA,IR1,Lvl,AllPub
4,70,RL,60,9550,Pave,NA,IR1,Lvl,AllPub
5,60,RL,84,14260,Pave,NA,IR1,Lvl,AllPub
6,50,RL,85,14115,Pave,NA,IR1,Lvl,AllPub
7,20,RL,75,10084,Pave,NA,Reg,Lvl,AllPub
8,60,RL,NA,10382,Pave,NA,IR1,Lvl,AllPub
9,50,RM,51,6120,Pave,NA,Reg,Lvl,AllPub
10,190,RL,50,7420,Pave,NA,Reg,Lvl,AllPub
11,20,RL,70,11200,Pave,NA,Reg,Lvl,AllPub
12,60,RL,85,11924,Pave,NA,IR1,Lvl,AllPub
13,20,RL,NA,12968,Pave,NA,IR2,Lvl,AllPub
14,20,RL,91,10652,Pave,NA,IR1,Lvl,AllPub
15,20,RL,NA,10920,Pave,NA,IR1,Lvl,AllPub
16,45,RM,51,6120,Pave,NA,Reg,Lvl,AllPub
17,20,RL,NA,11241,Pave,NA,IR1,Lvl,AllPub
18,90,RL,72,10791,Pave,NA,Reg,Lvl,AllPub
19,20,RL,66,13695,Pave,NA,Reg,Lvl,AllPub
20,20,RL,70,7560,Pave,NA,Reg,Lvl,AllPub
21,60,RL,101,14215,Pave,NA,IR1,Lvl,AllPub
22,45,RM,57,7449,Pave,Grvl,Reg,Bnk,AllPub
23,20,RL,75,9742,Pave,NA,Reg,Lvl,AllPub
24,120,RM,44,4224,Pave,NA,Reg,Lvl,AllPub
25,20,RL,NA,8246,Pave,NA,IR1,Lvl,AllPub
26,20,RL,110,14230,Pave,NA,Reg,Lvl,AllPub
27,20,RL,60,7200,Pave,NA,Reg,Lvl,AllPub
28,20,RL,98,11478,Pave,NA,Reg,Lvl,AllPub
29,20,RL,47,16321,Pave,NA,IR1,Lvl,AllPub
30,30,RM,60,6324,Pave,NA,IR1,Lvl,AllPub
31,70,C (all),50,8500,Pave,Pave,Reg,Lvl,AllPub
32,20,RL,NA,8544,Pave,NA,IR1,Lvl,AllPub
33,20,RL,85,11049,Pave,NA,Reg,Lvl,AllPub
34,20,RL,70,10552,Pave,NA,IR1,Lvl,AllPub
35,120,RL,60,7313,Pave,NA,Reg,Lvl,AllPub
36,60,RL,108,13418,Pave,NA,Reg,Lvl,AllPub
37,20,RL,112,10859,Pave,NA,Reg,Lvl,AllPub
38,20,RL,74,8532,Pave,NA,Reg,Lvl,AllPub
39,20,RL,68,7922,Pave,NA,Reg,Lvl,AllPub
40,90,RL,65,6040,Pave,NA,Reg,Lvl,AllPub
41,20,RL,84,8658,Pave,NA,Reg,Lvl,AllPub
42,20,RL,115,16905,Pave,NA,Reg,Lvl,AllPub
43,85,RL,NA,9180,Pave,NA,IR1,Lvl,AllPub
44,20,RL,NA,9200,Pave,NA,IR1,Lvl,AllPub
45,20,RL,70,7945,Pave,NA,Reg,Lvl,AllPub
46,120,RL,61,7658,Pave,NA,Reg,Lvl,AllPub
47,50,RL,48,12822,Pave,NA,IR1,Lvl,AllPub
48,20,FV,84,11096,Pave,NA,Reg,Lvl,AllPub
49,190,RM,33,4456,Pave,NA,Reg,Lvl,AllPub
50,20,RL,66,7742,Pave,NA,Reg,Lvl,AllPub
51,60,RL,NA,13869,Pave,NA,IR2,Lvl,AllPub
52,50,RM,52,6240,Pave,NA,Reg,Lvl,AllPub
53,90,RM,110,8472,Grvl,NA,IR2,Bnk,AllPub
54,20,RL,68,50271,Pave,NA,IR1,Low,AllPub
55,80,RL,60,7134,Pave,NA,Reg,Bnk,AllPub
56,20,RL,100,10175,Pave,NA,IR1,Lvl,AllPub
57,160,FV,24,2645,Pave,Pave,Reg,Lvl,AllPub
58,60,RL,89,11645,Pave,NA,IR1,Lvl,AllPub
59,60,RL,66,13682,Pave,NA,IR2,HLS,AllPub
60,20,RL,60,7200,Pave,NA,Reg,Bnk,AllPub
61,20,RL,63,13072,Pave,NA,Reg,Lvl,AllPub
62,75,RM,60,7200,Pave,NA,Reg,Lvl,AllPub
63,120,RL,44,6442,Pave,NA,IR1,Lvl,AllPub
64,70,RM,50,10300,Pave,NA,IR1,Bnk,AllPub
65,60,RL,NA,9375,Pave,NA,Reg,Lvl,AllPub
66,60,RL,76,9591,Pave,NA,Reg,Lvl,AllPub
67,20,RL,NA,19900,Pave,NA,Reg,Lvl,AllPub
68,20,RL,72,10665,Pave,NA,IR1,Lvl,AllPub
69,30,RM,47,4608,Pave,NA,Reg,Lvl,AllPub
70,50,RL,81,15593,Pave,NA,Reg,Lvl,AllPub
71,20,RL,95,13651,Pave,NA,IR1,Lvl,AllPub
72,20,RL,69,7599,Pave,NA,Reg,Lvl,AllPub
73,60,RL,74,10141,Pave,NA,IR1,Lvl,AllPub
74,20,RL,85,10200,Pave,NA,Reg,Lvl,AllPub
75,50,RM,60,5790,Pave,NA,Reg,Lvl,AllPub
76,180,RM,21,1596,Pave,NA,Reg,Lvl,AllPub
77,20,RL,NA,8475,Pave,NA,IR1,Lvl,AllPub
78,50,RM,50,8635,Pave,NA,Reg,Lvl,AllPub
79,90,RL,72,10778,Pave,NA,Reg,Lvl,AllPub
80,50,RM,60,10440,Pave,Grvl,Reg,Lvl,AllPub
81,60,RL,100,13000,Pave,NA,Reg,Lvl,AllPub
82,120,RM,32,4500,Pave,NA,Reg,Lvl,AllPub
83,20,RL,78,10206,Pave,NA,Reg,Lvl,AllPub
84,20,RL,80,8892,Pave,NA,IR1,Lvl,AllPub
85,80,RL,NA,8530,Pave,NA,IR1,Lvl,AllPub
86,60,RL,121,16059,Pave,NA,Reg,Lvl,AllPub
87,60,RL,122,11911,Pave,NA,IR2,Lvl,AllPub
88,160,FV,40,3951,Pave,Pave,Reg,Lvl,AllPub
89,50,C (all),105,8470,Pave,NA,IR1,Lvl,AllPub
90,20,RL,60,8070,Pave,NA,Reg,Lvl,AllPub
91,20,RL,60,7200,Pave,NA,Reg,Lvl,AllPub
92,20,RL,85,8500,Pave,NA,Reg,Lvl,AllPub
93,30,RL,80,13360,Pave,Grvl,IR1,HLS,AllPub
94,190,C (all),60,7200,Pave,NA,Reg,Lvl,AllPub
95,60,RL,69,9337,Pave,NA,IR1,Lvl,AllPub
96,60,RL,NA,9765,Pave,NA,IR2,Lvl,AllPub
97,20,RL,78,10264,Pave,NA,IR1,Lvl,AllPub
